,RD\LINC\steps\Ateamclipper.cwl,RD\LINC\steps\H5ParmCollector.cwl,RD\LINC\steps\LoSoTo.ClockTec.cwl,RD\LINC\steps\LoSoTo.Duplicate.cwl,RD\LINC\steps\LoSoTo.Faraday.cwl,RD\LINC\steps\LoSoTo.Flag.cwl,RD\LINC\steps\LoSoTo.FlagStation.cwl,RD\LINC\steps\LoSoTo.Flagextend.cwl,RD\LINC\steps\LoSoTo.Interpolate.cwl,RD\LINC\steps\LoSoTo.Norm.cwl,RD\LINC\steps\LoSoTo.Plot.cwl,RD\LINC\steps\LoSoTo.Polalign.cwl,RD\LINC\steps\LoSoTo.Replicate.cwl,RD\LINC\steps\LoSoTo.Reset.cwl,RD\LINC\steps\LoSoTo.Residual.cwl,RD\LINC\steps\LoSoTo.Reweight.cwl,RD\LINC\steps\LoSoTo.Smooth.cwl,RD\LINC\steps\LoSoTo.Structure.cwl,RD\LINC\steps\add_missing_stations.cwl,RD\LINC\steps\aoflag.cwl,RD\LINC\steps\applybeam.cwl,RD\LINC\steps\applycal.cwl,RD\LINC\steps\applytarget.cwl,RD\LINC\steps\average.cwl,RD\LINC\steps\blank_image_reg.cwl,RD\LINC\steps\blsmooth.cwl,RD\LINC\steps\check_ateam_separation.cwl,RD\LINC\steps\check_demix.cwl,RD\LINC\steps\check_filtered_MS_array.cwl,RD\LINC\steps\check_removed_groups.cwl,RD\LINC\steps\check_unflagged_fraction.cwl,RD\LINC\steps\collectfiles.cwl,RD\LINC\steps\compare_station_list.cwl,RD\LINC\steps\compress.cwl,RD\LINC\steps\concatenate_files.cwl,RD\LINC\steps\createRMh5parm.cwl,RD\LINC\steps\ddecal.cwl,RD\LINC\steps\ddecal_array.cwl,RD\LINC\steps\dp3_addcol.cwl,RD\LINC\steps\dp3_make_parset_cal.cwl,RD\LINC\steps\dp3_make_parset_target.cwl,RD\LINC\steps\dp3_prep_cal.cwl,RD\LINC\steps\dp3_prep_target.cwl,RD\LINC\steps\dp3concat.cwl,RD\LINC\steps\fetch_data.cwl,RD\LINC\steps\fetch_file.cwl,RD\LINC\steps\filter_ms_group.cwl,RD\LINC\steps\filter_predict.cwl,RD\LINC\steps\findRefAnt_join.cwl,RD\LINC\steps\find_skymodel_cal.cwl,RD\LINC\steps\find_skymodel_target.cwl,RD\LINC\steps\format_quality.cwl,RD\LINC\steps\getFWHM.cwl,RD\LINC\steps\get_targetname.cwl,RD\LINC\steps\h5parm_pointingname.cwl,RD\LINC\steps\h5parmcat.cwl,RD\LINC\steps\identify_bad_antennas.cwl,RD\LINC\steps\identify_bad_antennas_join.cwl,RD\LINC\steps\list_directory.cwl,RD\LINC\steps\list_directory_files.cwl,RD\LINC\steps\make_beam_reg.cwl,RD\LINC\steps\make_mask.cwl,RD\LINC\steps\merge_array.cwl,RD\LINC\steps\merge_array_files.cwl,RD\LINC\steps\merge_skymodels.cwl,RD\LINC\steps\mslin2circ.cwl,RD\LINC\steps\plot_Ateamclipper.cwl,RD\LINC\steps\plot_demix.cwl,RD\LINC\steps\plot_unflagged.cwl,RD\LINC\steps\predict.cwl,RD\LINC\steps\read_surl_list.cwl,RD\LINC\steps\selectfirstdirectory.cwl,RD\LINC\steps\sort_times_into_freqGroups.cwl,RD\LINC\steps\summary.cwl,RD\LINC\steps\taql.cwl,RD\LINC\steps\taql_copy.cwl,RD\LINC\steps\transfer_solutions.cwl,RD\LINC\steps\uvplot.cwl,RD\LINC\steps\wsclean.cwl,RD\LINC\workflows\HBA_calibrator.cwl,RD\LINC\workflows\HBA_target.cwl,RD\LINC\workflows\HBA_target_VLBI.cwl,RD\LINC\workflows\LBA_calibrator.cwl,RD\LINC\workflows\LBA_target.cwl,RD\LINC\workflows\ldv_linc_calibrator.cwl,RD\LINC\workflows\ldv_linc_target.cwl,RD\LINC\workflows\linc_calibrator.cwl,RD\LINC\workflows\linc_calibrator\apply_calibrate_bp.cwl,RD\LINC\workflows\linc_calibrator\apply_calibrate_fr.cwl,RD\LINC\workflows\linc_calibrator\apply_pa.cwl,RD\LINC\workflows\linc_calibrator\bandpass.cwl,RD\LINC\workflows\linc_calibrator\bp.cwl,RD\LINC\workflows\linc_calibrator\clocktec.cwl,RD\LINC\workflows\linc_calibrator\dp3_prep_cal.cwl,RD\LINC\workflows\linc_calibrator\faraday_rotation.cwl,RD\LINC\workflows\linc_calibrator\fr.cwl,RD\LINC\workflows\linc_calibrator\ion.cwl,RD\LINC\workflows\linc_calibrator\pa.cwl,RD\LINC\workflows\linc_calibrator\pol_align.cwl,RD\LINC\workflows\linc_calibrator\predict_calibrate.cwl,RD\LINC\workflows\linc_calibrator\prep.cwl,RD\LINC\workflows\linc_calibrator\prep_fr.cwl,RD\LINC\workflows\linc_target.cwl,RD\LINC\workflows\linc_target\amplitude.cwl,RD\LINC\workflows\linc_target\apply_calibrate_tec.cwl,RD\LINC\workflows\linc_target\calib_targ.cwl,RD\LINC\workflows\linc_target\concat.cwl,RD\LINC\workflows\linc_target\corrupt_model.cwl,RD\LINC\workflows\linc_target\dp3_prep_targ.cwl,RD\LINC\workflows\linc_target\finalize.cwl,RD\LINC\workflows\linc_target\fr.cwl,RD\LINC\workflows\linc_target\gsmcal.cwl,RD\LINC\workflows\linc_target\imaging_subtract.cwl,RD\LINC\workflows\linc_target\predict_calibrate_fr.cwl,RD\LINC\workflows\linc_target\prep.cwl,RD\LINC\workflows\linc_target\selfcal_targ_hba.cwl,RD\LINC\workflows\linc_target\selfcal_targ_lba.cwl,RD\LINC\workflows\linc_target\tec_and_amp.cwl,ldv\imaging_compress_pipeline\aggregate_and_plot.cwl,ldv\imaging_compress_pipeline\compress_pipeline.cwl,ldv\imaging_compress_pipeline\download_and_compress_pipeline.cwl,ldv\imaging_compress_pipeline\steps\DPPP.cwl,ldv\imaging_compress_pipeline\steps\combine_inspect_dataset.cwl,ldv\imaging_compress_pipeline\steps\compress.cwl,ldv\imaging_compress_pipeline\steps\create_inspect_dataset.cwl,ldv\imaging_compress_pipeline\steps\define_parset.cwl,ldv\imaging_compress_pipeline\steps\extract_quality_metrics.cwl,ldv\imaging_compress_pipeline\steps\extract_sip_meta.cwl,ldv\imaging_compress_pipeline\steps\fetch_data.cwl,ldv\imaging_compress_pipeline\steps\fix_antenna_information_2013.cwl,ldv\imaging_compress_pipeline\steps\fix_antenna_information_2015.cwl,ldv\imaging_compress_pipeline\steps\fix_long_baselines.cwl,ldv\imaging_compress_pipeline\steps\fix_weightissue_flagging.cwl,ldv\imaging_compress_pipeline\steps\format_ingest.cwl,ldv\imaging_compress_pipeline\steps\format_metrics.cwl,ldv\imaging_compress_pipeline\steps\identify_issues.cwl,ldv\imaging_compress_pipeline\steps\inspect_compression_quality.cwl,ldv\imaging_compress_pipeline\steps\inspect_flagging_dataloss.cwl,ldv\imaging_compress_pipeline\steps\plot_uvw_coverage.cwl,ldv\imaging_compress_pipeline\steps\read_surl_list.cwl,ldv\imaging_compress_pipeline\workflows\inspect_workflow.cwl
RD\LINC\steps\Ateamclipper.cwl,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.14285714285714285,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
RD\LINC\steps\H5ParmCollector.cwl,0.0,-1.0,1.25,31.641666666666666,5.571428571428571,1.25,1.375,0.5,0.2727272727272727,8.0,303.91282051282053,4.75,10.666666666666666,6.583333333333333,8.095238095238095,0.42857142857142855,1.3833333333333333,0.0,86.9,2.6666666666666665,0.5714285714285714,9.666666666666666,0.0,0.0,0.0,10.0,0.0,0.0,4.0,0.0,3.0,0.0,7.25,0.0,189.96428571428572,0.2727272727272727,158.77272727272728,17.0,1.3333333333333333,0.0,0.0,0.0,0.0,2.1818181818181817,0.8591703618019407,0.0,0.0,0.0,0.8999999999999999,2.136904761904762,1.35,0.0,0.0,0.85,0.6666666666666666,4.578388278388278,0.0,0.0,0.0,0.0,0.0,0.0,3.4285714285714284,0.0,0.0,0.8,0.0,0.0,0.0,2.9285714285714284,0.0,1.8333333333333335,0.0,0.0,2.0,0.0,1.0,0.0,2.625,15.0,27.0,18.0,10.0,18.0,15.0,27.0,15.0,7.0,7.0,9.0,2.5,12.0,2.5,0.0,19.166666666666668,17.0,10.0,15.0,9.5,8.045454545454545,4.420454545454545,2.0,27.0,32.0,106.0,15.0,2.1818181818181817,0.0,0.0,7.0,2.7142857142857144,26.0,0.625,16.0,1.6227272727272726,13.0,31.0,21.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
RD\LINC\steps\LoSoTo.ClockTec.cwl,0.0,1.25,-1.0,18.0,0.0,0.0,1.25,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.6666666666666667,0.0,4.5,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.3,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,6.0,0.0,0.0,3.0,0.0,4.0,0.0,6.0,1.0,0.0,0.0,0.0,1.25,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
RD\LINC\steps\LoSoTo.Duplicate.cwl,0.0,31.641666666666666,18.0,-1.0,14.5,10.25,9.166666666666668,6.166666666666667,3.0,19.0,22.066666666666666,9.0,38.0,28.0,3.0476190476190474,10.25,23.75,0.0,10.666666666666666,1.0909090909090908,0.3,1.9204545454545454,0.0,0.0,0.0,1.9285714285714284,0.0,0.0,1.5,0.0,1.2,0.0,2.5,0.0,57.333333333333336,0.0,20.797619047619047,1.25,0.5,0.0,0.0,0.0,0.0,0.9230769230769231,0.3293350168350168,0.0,0.0,0.0,0.39743589743589747,1.4213727449021567,0.0,0.0,0.0,0.0,0.606060606060606,2.4057692307692307,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.375,0.0,0.0,0.0,1.15,0.0,1.3030538302277432,0.0,0.0,0.6,0.0,1.2464285714285714,0.0,0.0,18.0,9.0,6.0,12.0,6.0,18.0,9.0,18.0,1.75,1.5833333333333333,0.6,6.0,8.266666666666667,6.0,0.0,2.5476190476190474,5.041666666666667,6.0,4.666666666666667,3.0,1.8364661654135337,2.756629335576704,0.6,9.0,3.0,10.666666666666666,0.0,0.9230769230769231,0.0,0.0,0.0,2.0,9.0,0.0,5.333333333333333,0.0,0.0,9.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
RD\LINC\steps\LoSoTo.Faraday.cwl,0.0,5.571428571428571,0.0,14.5,-1.0,0.2727272727272727,0.25,0.23076923076923078,0.16666666666666666,0.0,11.7,0.0,0.0,28.0,28.0,0.21428571428571427,0.5218653250773994,0.0,8.0,0.3076923076923077,0.25,2.314102564102564,0.0,0.0,0.0,0.8,0.0,0.0,0.4,0.0,0.3333333333333333,0.0,0.625,0.0,30.887012987012987,0.0,4.804166666666667,0.8333333333333334,0.375,0.0,0.0,0.0,0.0,1.0666666666666667,0.125,0.0,0.0,0.0,4.166666666666667,0.5864661654135338,0.0,0.0,0.0,0.0,0.6,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.3,0.0,0.0,0.0,0.7764705882352941,0.0,0.525,0.0,0.0,0.42857142857142855,0.0,0.13636363636363635,0.0,0.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,0.375,2.3333333333333335,0.42857142857142855,0.3333333333333333,2.8452380952380953,0.0,0.0,5.0,4.0,0.0,1.0,0.0,0.9375,0.9375,0.42857142857142855,4.0,0.0,0.0,0.0,1.0666666666666667,0.0,0.0,0.0,2.0,4.0,0.0,3.2,0.0,0.0,4.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
RD\LINC\steps\LoSoTo.Flag.cwl,0.0,1.25,0.0,10.25,0.2727272727272727,-1.0,9.0,2.5,0.7142857142857143,0.0,3.5555555555555554,0.0,0.0,0.0,0.3,1.6666666666666667,2.4583333333333335,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.21428571428571427,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.3,1.25,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
RD\LINC\steps\LoSoTo.FlagStation.cwl,0.0,1.375,1.25,9.166666666666668,0.25,9.0,-1.0,9.0,1.5,0.0,39.0,0.0,0.0,0.0,9.272727272727273,4.5,7.264285714285714,0.0,0.0,0.0,0.0,0.6477272727272727,0.0,0.0,0.0,0.7285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.555555555555555,0.0,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08928571428571427,0.0,0.0,0.0,0.2,0.34539473684210525,0.0,0.0,0.0,0.0,0.21428571428571427,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.0,0.3264705882352941,0.0,0.0,0.0,0.0,0.6307692307692307,0.0,0.0,9.0,0.0,0.0,4.0,0.0,6.0,0.0,9.0,0.3333333333333333,0.8333333333333334,0.0,5.0,5.375,5.0,0.0,0.2727272727272727,1.0,4.0,0.0,0.0,0.1875,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
RD\LINC\steps\LoSoTo.Flagextend.cwl,0.0,0.5,0.0,6.166666666666667,0.23076923076923078,2.5,9.0,-1.0,1.8,0.0,4.571428571428571,0.0,0.0,0.0,0.25,9.0,6.083333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.1875,0.15,0.0,0.0,0.0,0.0,0.0,0.8441558441558441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,4.0,0.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,0.42857142857142855,0.0,4.0,4.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.17647058823529413,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
RD\LINC\steps\LoSoTo.Interpolate.cwl,0.0,0.2727272727272727,0.0,3.0,0.16666666666666666,0.7142857142857143,1.5,1.8,-1.0,0.0,28.0,0.0,0.0,0.0,0.17647058823529413,2.25,18.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.666666666666668,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.14285714285714285,0.12,0.0,0.0,0.0,0.0,1.0,3.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,1.75,0.0,0.0,6.0,0.0,0.0,2.0,0.0,3.0,0.0,6.0,0.0,0.25,0.0,6.0,6.0,0.0,0.0,0.17647058823529413,0.2727272727272727,0.0,0.0,0.0,0.13636363636363635,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
RD\LINC\steps\LoSoTo.Norm.cwl,0.0,8.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,-1.0,32.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,32.0,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.6666666666666666,0.0,1.25,0.0,16.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,6.4,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
